"annee";"code_postal_acheteur";"amm";"quantite_produit";"conditionnement";"eaj";"achat_etranger"
2019;"21000";"2000003";"5";"l";"Non";"Non"
2019;"21000";"2000018";"84.52";"kg";"Non";"Non"
2019;"21000";"2000125";"4.5";"kg";"Oui";"Non"
2019;"21000";"2000201";"220";"l";"Non";"Non"
2019;"21000";"2000205";"0.9";"kg";"Non";"Non"
2019;"21000";"2000294";"2.2";"kg";"Non";"Non"
2019;"21000";"2000299";"3";"l";"Non";"Non"
2019;"21000";"2000316";"44.5";"l";"Non";"Non"
2019;"21000";"2000510";"30";"kg";"Oui";"Non"
2019;"21000";"2000517";"5.1";"l";"Non";"Non"
2019;"21000";"2010023";"2";"l";"Non";"Non"
2019;"21000";"2010030";"25";"l";"Non";"Non"
2019;"21000";"2010118";"50.88";"kg";"Non";"Non"
2019;"21000";"2010130";"0.41";"kg";"Non";"Non"
2019;"21000";"2010239";"50";"l";"Non";"Non"
2019;"21000";"2010280";"21.5";"l";"Non";"Non"
2019;"21000";"2010410";"0.75";"kg";"Oui";"Non"
2019;"21000";"2010415";"755";"l";"Non";"Non"
2019;"21000";"2010427";"73";"l";"Non";"Non"
2019;"21000";"2020014";"5";"l";"Non";"Non"
2019;"21000";"2020047";"50";"l";"Oui";"Non"
2019;"21000";"2020110";"1.5";"kg";"Non";"Non"
2019;"21000";"2020474";"24";"l";"Non";"Non"
2019;"21000";"2030175";"0.40";"kg";"Oui";"Non"
2019;"21000";"2030323";"20.81";"l";"Non";"Non"
2019;"21000";"2030332";"5";"l";"Oui";"Non"
2019;"21000";"2030404";"20";"l";"Non";"Non"
2019;"21000";"2050075";"2.5";"kg";"Non";"Non"
2019;"21000";"2060050";"19.39";"l";"Non";"Non"
2019;"21000";"2060085";"0.22";"l";"Non";"Non"
2019;"21000";"2060175";"50";"kg";"Oui";"Non"
2019;"21000";"2080060";"1";"l";"Non";"Non"
2019;"21000";"2080100";"1.14";"kg";"Non";"Non"
2019;"21000";"2080105";"154.5";"l";"Non";"Non"
2019;"21000";"2080112";"0.21";"l";"Non";"Non"
2019;"21000";"2080129";"0.2";"l";"Non";"Non"
2019;"21000";"2080145";"201";"l";"Non";"Non"
2019;"21000";"2090008";"0.44";"l";"Non";"Non"
