"annee";"code_postal_acheteur";"amm";"quantite_produit";"conditionnement";"eaj";"achat_etranger"
2019;"22000";"2000003";"10";"l";"Non";"Non"
2019;"22000";"2000122";"0.58";"l";"Non";"Non"
2019;"22000";"2000299";"1";"l";"Non";"Non"
2019;"22000";"2000380";"5";"l";"Non";"Non"
2019;"22000";"2010280";"30";"l";"Non";"Non"
2019;"22000";"2020003";"45";"kg";"Oui";"Non"
2019;"22000";"2030071";"20";"kg";"Non";"Non"
2019;"22000";"2030323";"7.20";"l";"Non";"Non"
2019;"22000";"2030460";"40";"kg";"Non";"Non"
2019;"22000";"2060084";"15";"kg";"Non";"Non"
2019;"22000";"2060098";"2";"l";"Non";"Non"
2019;"22000";"2060127";"4.29";"l";"Non";"Non"
2019;"22000";"2060131";"3";"l";"Oui";"Non"
2019;"22000";"2080026";"12";"l";"Non";"Non"
2019;"22000";"2080105";"28";"l";"Non";"Non"
2019;"22000";"2080112";"0.28";"l";"Non";"Non"
2019;"22000";"2080125";"0.4";"kg";"Non";"Non"
2019;"22000";"2080145";"10";"l";"Non";"Non"
2019;"22000";"2090111";"0.93";"l";"Non";"Non"
2019;"22000";"2090136";"20";"l";"Non";"Non"
2019;"22000";"2090149";"5";"l";"Non";"Non"
2019;"22000";"2090153";"2";"kg";"Non";"Non"
2019;"22000";"2090159";"2.1";"kg";"Non";"Non"
2019;"22000";"2090164";"10";"l";"Oui";"Non"
2019;"22000";"2100009";"1.5";"kg";"Non";"Non"
2019;"22000";"2100026";"1";"l";"Non";"Non"
2019;"22000";"2100030";"100";"kg";"Non";"Non"
2019;"22000";"2100041";"10";"l";"Non";"Non"
2019;"22000";"2100051";"0.16";"l";"Non";"Non"
2019;"22000";"2100057";"30";"l";"Non";"Non"
2019;"22000";"2100121";"1";"l";"Non";"Non"
2019;"22000";"2100138";"25";"l";"Non";"Non"
2019;"22000";"2100140";"35";"l";"Non";"Non"
2019;"22000";"2100179";"5";"l";"Non";"Non"
2019;"22000";"2100234";"5";"l";"Non";"Non"
2019;"22000";"2110013";"5";"l";"Non";"Non"
2019;"22000";"2110078";"5";"l";"Non";"Non"
2019;"22000";"2110086";"15";"l";"Non";"Non"
2019;"22000";"2110102";"3.85";"l";"Non";"Non"
2019;"22000";"2110104";"10";"l";"Non";"Non"
2019;"22000";"2110152";"1";"l";"Non";"Non"
2019;"22000";"2110154";"150";"l";"Non";"Non"
2019;"22000";"2110167";"3";"l";"Non";"Non"
2019;"22000";"2120034";"20";"l";"Non";"Non"
2019;"22000";"2120048";"6";"l";"Non";"Non"
2019;"22000";"2120070";"30";"l";"Non";"Non"
2019;"22000";"2120075";"20";"l";"Non";"Non"
2019;"22000";"2120091";"0.5";"kg";"Non";"Non"
2019;"22000";"2120120";"5";"l";"Non";"Non"
2019;"22000";"2120194";"1.5";"kg";"Non";"Non"
2019;"22000";"2130068";"4";"l";"Non";"Non"
2019;"22000";"2130164";"15";"l";"Non";"Non"
2019;"22000";"2130202";"10";"l";"Non";"Non"
2019;"22000";"2140085";"1";"l";"Non";"Non"
2019;"22000";"2140093";"100";"l";"Non";"Non"
2019;"22000";"2140121";"10";"l";"Oui";"Non"
2019;"22000";"2140132";"1";"l";"Non";"Non"
2019;"22000";"2140199";"6";"kg";"Non";"Non"
2019;"22000";"2140201";"5";"l";"Non";"Non"
2019;"22000";"2140254";"2";"l";"Non";"Non"
2019;"22000";"2150328";"0.8";"kg";"Non";"Non"
2019;"22000";"2160064";"0.63";"l";"Non";"Non"
2019;"22000";"2160260";"5";"l";"Non";"Non"
2019;"22000";"2160931";"20";"l";"Non";"Non"
2019;"22000";"2160937";"9";"l";"Non";"Non"
2019;"22000";"2161101";"30";"l";"Non";"Non"
2019;"22000";"2170381";"30";"l";"Non";"Non"
2019;"22000";"2170429";"5";"l";"Non";"Non"
2019;"22000";"2170720";"2";"l";"Non";"Non"
2019;"22000";"2170933";"9";"kg";"Non";"Non"
2019;"22000";"2190062";"5";"l";"Non";"Non"
2019;"22000";"7700706";"40";"kg";"Oui";"Non"
2019;"22000";"8300063";"30";"l";"Non";"Non"
2019;"22000";"8400528";"1";"l";"Non";"Non"
2019;"22000";"8400574";"35";"l";"Non";"Non"
2019;"22000";"8700462";"20";"l";"Non";"Non"
2019;"22000";"8900564";"1";"l";"Non";"Non"
2019;"22000";"9000184";"10";"l";"Non";"Non"
2019;"22000";"9100296";"30";"l";"Non";"Non"
2019;"22000";"9200548";"1.24";"l";"Non";"Non"
2019;"22000";"9400052";"4";"l";"Non";"Non"
2019;"22000";"9500223";"10";"l";"Non";"Non"
2019;"22000";"9500595";"1";"l";"Non";"Non"
