"annee";"code_postal_acheteur";"amm";"quantite_produit";"conditionnement";"eaj";"achat_etranger"
2018;"20000";"2010023";"39";"l";"Non";"Non"
2018;"20000";"2010130";"10";"kg";"Non";"Non"
2018;"20000";"2010441";"20";"l";"Non";"Non"
2018;"20000";"2050046";"2";"kg";"Non";"Non"
2018;"20000";"2080038";"10";"l";"Non";"Non"
2018;"20000";"2090116";"5";"l";"Non";"Non"
2018;"20000";"2090164";"1";"l";"Oui";"Non"
2018;"20000";"2120034";"280";"l";"Non";"Non"
2018;"20000";"2120086";"80";"l";"Non";"Non"
2018;"20000";"2120159";"0.03";"l";"Non";"Non"
2018;"20000";"2130115";"5";"kg";"Non";"Non"
2018;"20000";"2130212";"5";"kg";"Non";"Non"
2018;"20000";"2150104";"120";"l";"Non";"Non"
2018;"20000";"9000471";"30";"l";"Non";"Non"
2018;"20000";"9000490";"15";"l";"Non";"Non"
2018;"20000";"9100296";"140";"l";"Non";"Non"
2018;"20000";"9200482";"3";"kg";"Oui";"Non"
2018;"20000";"9300504";"240";"l";"Non";"Non"
2018;"20000";"9600025";"42";"kg";"Non";"Non"
2018;"20000";"9800245";"20";"kg";"Non";"Non"
2018;"20000";"9800336";"5";"l";"Non";"Non"
2018;"20000";"9800474";"30";"kg";"Non";"Non"
2018;"20000";"9900354";"10";"kg";"Non";"Non"
2018;"20090";"2000517";"75";"l";"Non";"Non"
2018;"20090";"2010023";"13";"l";"Non";"Non"
2018;"20090";"2010513";"6.5";"kg";"Non";"Non"
2018;"20090";"2020241";"4";"kg";"Non";"Non"
2018;"20090";"2060133";"1";"l";"Non";"Non"
2018;"20090";"2070107";"10";"l";"Non";"Non"
2018;"20090";"2090082";"11";"l";"Non";"Non"
2018;"20090";"2090116";"30";"l";"Non";"Non"
2018;"20090";"2090127";"40";"l";"Non";"Non"
2018;"20090";"2090160";"120";"l";"Non";"Non"
2018;"20090";"2100122";"1.2";"kg";"Non";"Non"
2018;"20090";"2120048";"2";"l";"Non";"Non"
2018;"20090";"2120171";"2";"kg";"Non";"Non"
2018;"20090";"2140085";"1";"l";"Non";"Non"
2018;"20090";"2140121";"1";"l";"Oui";"Non"
2018;"20090";"7700216";"260";"l";"Non";"Non"
2018;"20090";"8500194";"1";"l";"Non";"Non"
2018;"20090";"8600243";"10";"l";"Non";"Non"
2018;"20090";"8900681";"5";"l";"Non";"Non"
2018;"20090";"9300504";"20";"l";"Non";"Non"
2018;"20090";"9500452";"120";"kg";"Non";"Non"
2018;"20090";"9600398";"0.3";"kg";"Non";"Non"
2018;"20090";"9700332";"1";"l";"Oui";"Non"
2018;"20090";"9800336";"4";"l";"Non";"Non"
2018;"20090";"9800474";"15";"kg";"Non";"Non"
2018;"20090";"9900227";"5";"l";"Non";"Non"
2018;"20090";"9900242";"10";"kg";"Non";"Non"
2018;"20100";"2000018";"520";"kg";"Non";"Non"
2018;"20100";"2000517";"80";"l";"Non";"Non"
2018;"20100";"2010023";"5";"l";"Non";"Non"
2018;"20100";"2010509";"150";"kg";"Non";"Non"
2018;"20100";"2020241";"5";"kg";"Non";"Non"
2018;"20100";"2030125";"6";"l";"Oui";"Non"
2018;"20100";"2030466";"101";"kg";"Oui";"Non"
2018;"20100";"2040195";"66";"l";"Non";"Non"
2018;"20100";"2060098";"2.5";"l";"Non";"Non"
2018;"20100";"2060133";"7";"l";"Non";"Non"
2018;"20100";"2080099";"50";"kg";"Non";"Non"
2018;"20100";"2080100";"20";"kg";"Non";"Non"
2018;"20100";"2090001";"18";"l";"Non";"Non"
2018;"20100";"2090119";"390";"l";"Non";"Non"
2018;"20100";"2090127";"60";"l";"Non";"Non"
2018;"20100";"2090132";"70";"l";"Non";"Non"
2018;"20100";"2090160";"80";"l";"Non";"Non"
2018;"20100";"2100001";"5";"l";"Non";"Non"
2018;"20100";"2100038";"225";"kg";"Non";"Non"
2018;"20100";"2100181";"216";"kg";"Non";"Non"
2018;"20100";"2110073";"3";"l";"Non";"Non"
2018;"20100";"2110101";"30";"l";"Non";"Non"
2018;"20100";"2120048";"5";"l";"Non";"Non"
2018;"20100";"2120086";"100";"l";"Non";"Non"
2018;"20100";"2120133";"5";"l";"Oui";"Non"
2018;"20100";"2120150";"4";"l";"Oui";"Non"
2018;"20100";"2130049";"20";"l";"Non";"Non"
2018;"20100";"2130152";"18";"l";"Non";"Non"
2018;"20100";"2130212";"5";"kg";"Non";"Non"
2018;"20100";"2130255";"40";"kg";"Non";"Non"
2018;"20100";"2140127";"55";"kg";"Non";"Non"
2018;"20100";"2140208";"0.8";"kg";"Non";"Non"
2018;"20100";"2140215";"24.19";"kg";"Non";"Non"
2018;"20100";"2150067";"110";"l";"Non";"Non"
2018;"20100";"2150387";"75";"l";"Non";"Non"
2018;"20100";"2160713";"3";"l";"Non";"Non"
2018;"20100";"2160963";"4";"l";"Non";"Non"
2018;"20100";"2170362";"10";"l";"Non";"Non"
2018;"20100";"2171119";"12";"kg";"Non";"Non"
2018;"20100";"5100219";"5800";"kg";"Non";"Non"
2018;"20100";"7700216";"80";"l";"Non";"Non"
2018;"20100";"8500198";"17";"l";"Oui";"Non"
2018;"20100";"9000184";"15";"l";"Non";"Non"
2018;"20100";"9000222";"1280";"l";"Non";"Non"
2018;"20100";"9000490";"30";"l";"Non";"Non"
2018;"20100";"9100296";"10";"l";"Non";"Non"
2018;"20100";"9200293";"400";"l";"Non";"Non"
2018;"20100";"9200482";"6";"kg";"Oui";"Non"
2018;"20100";"9500002";"169";"l";"Non";"Non"
2018;"20100";"9500150";"3";"l";"Non";"Non"
2018;"20100";"9500452";"150";"kg";"Non";"Non"
2018;"20100";"9600103";"30";"kg";"Non";"Non"
2018;"20100";"9600512";"384";"kg";"Non";"Non"
2018;"20100";"9700070";"4.8";"kg";"Non";"Non"
2018;"20100";"9700463";"16";"kg";"Non";"Non"
2018;"20100";"9800028";"5";"l";"Non";"Non"
2018;"20100";"9800244";"1.5";"kg";"Non";"Non"
2018;"20100";"9800336";"12";"l";"Non";"Non"
2018;"20100";"9800420";"124";"l";"Non";"Non"
2018;"20100";"9800474";"345";"kg";"Non";"Non"
2018;"20100";"9900227";"200";"l";"Non";"Non"
2018;"20100";"9900242";"100";"kg";"Non";"Non"
2018;"20100";"9900331";"10";"l";"Non";"Non"
2018;"20110";"2000018";"1920";"kg";"Non";"Non"
2018;"20110";"2000517";"200";"l";"Non";"Non"
2018;"20110";"2010023";"8";"l";"Non";"Non"
2018;"20110";"2040330";"20";"kg";"Non";"Non"
2018;"20110";"2060098";"4";"l";"Non";"Non"
2018;"20110";"2080123";"0.4";"kg";"Non";"Non"
2018;"20110";"2090116";"5";"l";"Non";"Non"
2018;"20110";"2090119";"960";"l";"Non";"Non"
2018;"20110";"2090127";"340";"l";"Non";"Non"
2018;"20110";"2100038";"850";"kg";"Non";"Non"
