"annee";"code_postal_acheteur";"amm";"quantite_produit";"conditionnement";"eaj";"achat_etranger"
2019;"97118";"2090132";"3";"l";"Non";"Non"
2019;"97118";"2110147";"1";"kg";"Non";"Non"
2019;"97118";"2120034";"5";"l";"Non";"Non"
2019;"97122";"8100472";"40";"l";"Non";"Non"
2019;"97160";"2010427";"120";"l";"Non";"Non"
2019;"97160";"2050046";"86";"kg";"Non";"Non"
2019;"97160";"2060050";"50";"l";"Non";"Non"
2019;"97160";"2060085";"50";"l";"Non";"Non"
2019;"97160";"2060098";"10";"l";"Non";"Non"
2019;"97160";"2090094";"1000";"kg";"Non";"Non"
2019;"97160";"2100122";"2.1";"kg";"Non";"Non"
2019;"97160";"2110073";"10";"l";"Non";"Non"
2019;"97160";"2120092";"20";"l";"Non";"Non"
2019;"97160";"2120159";"0.01";"l";"Non";"Non"
2019;"97160";"2130079";"10";"l";"Non";"Non"
2019;"97160";"2140165";"10";"kg";"Non";"Non"
2019;"97160";"2140236";"1600";"kg";"Non";"Non"
2019;"97160";"2169999";"1";"l";"Non";"Non"
2019;"97160";"7500569";"15";"kg";"Non";"Non"
2019;"97160";"9200214";"800";"kg";"Non";"Non"
2019;"97160";"9500568";"60";"kg";"Non";"Non"
2019;"97160";"9800474";"1005";"kg";"Non";"Non"
2019;"97180";"2100231";"1";"kg";"Non";"Non"
