"annee";"code_postal_acheteur";"amm";"quantite_produit";"conditionnement";"eaj";"achat_etranger"
2020;"97310";"2000380";"5";"l";"Non";"Non"
2020;"97310";"2010030";"20";"l";"Non";"Non"
2020;"97310";"2030342";"80";"l";"Non";"Non"
2020;"97310";"2050075";"2.5";"kg";"Non";"Non"
2020;"97310";"2080103";"10";"l";"Non";"Non"
2020;"97310";"2080145";"10";"l";"Non";"Non"
2020;"97310";"2090001";"3";"l";"Non";"Non"
2020;"97310";"2090016";"20";"l";"Non";"Non"
2020;"97310";"2090042";"6";"kg";"Non";"Non"
2020;"97310";"2100052";"10";"l";"Non";"Non"
2020;"97310";"2100053";"5";"l";"Non";"Non"
2020;"97310";"2100057";"10";"l";"Non";"Non"
2020;"97310";"2100108";"30";"l";"Non";"Non"
2020;"97310";"2100138";"20";"l";"Non";"Non"
2020;"97310";"2110103";"0.3";"kg";"Non";"Non"
2020;"97310";"2110151";"30";"l";"Non";"Non"
2020;"97310";"2110181";"10";"l";"Non";"Non"
2020;"97310";"2140040";"60";"kg";"Non";"Non"
2020;"97310";"2150140";"60";"l";"Non";"Non"
2020;"97310";"2170158";"10";"l";"Non";"Non"
2020;"97310";"2170429";"20";"l";"Non";"Non"
2020;"97310";"2180474";"10";"l";"Non";"Non"
2020;"97310";"2190686";"15";"l";"Non";"Non"
2020;"97310";"7200313";"40";"l";"Non";"Non"
2020;"97310";"7900708";"15";"l";"Non";"Non"
2020;"97310";"8600243";"20";"l";"Non";"Non"
2020;"97310";"8900564";"5";"l";"Non";"Non"
2020;"97310";"9000833";"20";"l";"Non";"Non"
2020;"97310";"9600093";"10";"l";"Non";"Non"
2020;"97310";"9600370";"15";"l";"Non";"Non"
2020;"97310";"9800336";"12.5";"l";"Non";"Non"
2020;"97351";"2110101";"10";"l";"Non";"Non"
2020;"97351";"9000490";"60";"l";"Non";"Non"
2020;"97351";"9800336";"5";"l";"Non";"Non"
2020;"97355";"2010513";"5";"kg";"Non";"Non"
2020;"97355";"2060098";"4";"l";"Non";"Non"
2020;"97355";"2080060";"5";"l";"Non";"Non"
2020;"97355";"2100122";"1.2";"kg";"Non";"Non"
2020;"97355";"2110086";"5";"l";"Non";"Non"
2020;"97355";"2140085";"5";"l";"Non";"Non"
2020;"97356";"nc";"nc";"nc";"nc";"nc"
