"annee";"code_postal_acheteur";"amm";"quantite_produit";"conditionnement";"eaj";"achat_etranger"
2020;"75001";"2000316";"6";"l";"Non";"Non"
2020;"75001";"2000380";"2";"l";"Non";"Non"
2020;"75001";"2010023";"2.01";"l";"Non";"Non"
2020;"75001";"2010030";"5";"l";"Non";"Non"
2020;"75001";"2010118";"0.11";"kg";"Non";"Non"
2020;"75001";"2020119";"40";"l";"Oui";"Non"
2020;"75001";"2020219";"1";"l";"Non";"Non"
2020;"75001";"2030071";"15";"kg";"Non";"Non"
2020;"75001";"2030175";"0.04";"kg";"Oui";"Non"
2020;"75001";"2060050";"0.01";"l";"Non";"Non"
2020;"75001";"2060086";"0.62";"kg";"Non";"Non"
2020;"75001";"2060116";"5";"l";"Non";"Non"
2020;"75001";"2060132";"2";"l";"Non";"Non"
2020;"75001";"2080105";"30";"l";"Non";"Non"
2020;"75001";"2080145";"35";"l";"Non";"Non"
2020;"75001";"2090016";"5";"l";"Non";"Non"
2020;"75001";"2090037";"8";"kg";"Non";"Non"
2020;"75001";"2090050";"96";"kg";"Non";"Non"
2020;"75001";"2090057";"2";"kg";"Non";"Non"
2020;"75001";"2090126";"15.2";"l";"Non";"Non"
2020;"75001";"2090132";"12.22";"l";"Non";"Non"
2020;"75001";"2090146";"1.9";"l";"Oui";"Non"
2020;"75001";"2090160";"40";"l";"Non";"Non"
2020;"75001";"2090199";"0.25";"l";"Oui";"Non"
2020;"75001";"2100052";"15";"l";"Non";"Non"
2020;"75001";"2100138";"24";"l";"Non";"Non"
2020;"75001";"2100151";"5";"l";"Non";"Non"
2020;"75001";"2100181";"0.13";"kg";"Non";"Non"
2020;"75001";"2100221";"0.11";"kg";"Non";"Non"
2020;"75001";"2110018";"2.8";"l";"Non";"Non"
2020;"75001";"2110102";"4.85";"l";"Non";"Non"
2020;"75001";"2110104";"21";"l";"Non";"Non"
2020;"75001";"2110149";"0.8";"l";"Oui";"Non"
2020;"75001";"2120034";"20.17";"l";"Non";"Non"
2020;"75001";"2120171";"62";"kg";"Non";"Non"
2020;"75001";"2120219";"0.5";"l";"Non";"Non"
2020;"75001";"2130049";"2";"l";"Non";"Non"
2020;"75001";"2130067";"0.02";"l";"Non";"Non"
2020;"75001";"2130075";"80";"kg";"Non";"Non"
2020;"75001";"2130140";"40";"l";"Non";"Non"
2020;"75001";"2130152";"0.01";"l";"Non";"Non"
2020;"75001";"2130202";"5";"l";"Non";"Non"
