"annee";"code_postal_acheteur";"amm";"quantite_produit";"conditionnement";"eaj";"achat_etranger"
2018;"00000";"1030003";"2264.74";"l";"Oui";"Non"
2018;"00000";"2000003";"1877.3";"l";"Non";"Non"
2018;"00000";"2000017";"42.62";"l";"Oui";"Non"
2018;"00000";"2000018";"43068.1399";"kg";"Non";"Non"
2018;"00000";"2000044";"2611";"l";"Non";"Non"
2018;"00000";"2000045";"6";"l";"Non";"Non"
2018;"00000";"2000046";"13640";"l";"Non";"Non"
2018;"00000";"2000067";"10";"l";"Non";"Non"
2018;"00000";"2000071";"13935.60";"kg";"Oui";"Non"
2018;"00000";"2000080";"195";"l";"Non";"Non"
2018;"00000";"2000087";"16840";"kg";"Non";"Non"
2018;"00000";"2000099";"60";"kg";"Non";"Non"
2018;"00000";"2000101";"1245";"l";"Non";"Non"
2018;"00000";"2000105";"0.06";"kg";"Oui";"Non"
2018;"00000";"2000122";"1770.30";"l";"Non";"Non"
2018;"00000";"2000125";"21253.7198";"kg";"Oui";"Non"
2018;"00000";"2000128";"30.72";"kg";"Oui";"Non"
2018;"00000";"2000150";"797.0";"l";"Oui";"Non"
2018;"00000";"2000169";"3";"kg";"Non";"Non"
2018;"00000";"2000191";"282.14";"l";"Non";"Non"
2018;"00000";"2000201";"19739.0499";"l";"Non";"Non"
2018;"00000";"2000202";"1067";"l";"Non";"Non"
2018;"00000";"2000205";"27.0";"kg";"Non";"Non"
2018;"00000";"2000207";"10";"l";"Non";"Non"
2018;"00000";"2000210";"1260";"l";"Non";"Non"
2018;"00000";"2000214";"1";"l";"Non";"Non"
2018;"00000";"2000294";"709.14";"kg";"Non";"Non"
2018;"00000";"2000299";"5434.5";"l";"Non";"Non"
2018;"00000";"2000301";"385";"l";"Non";"Non"
2018;"00000";"2000316";"526";"l";"Non";"Non"
2018;"00000";"2000324";"4389.5";"l";"Non";"Non"
2018;"00000";"2000327";"10664";"l";"Non";"Non"
2018;"00000";"2000333";"6245";"l";"Non";"Non"
2018;"00000";"2000338";"11080";"kg";"Non";"Non"
2018;"00000";"2000364";"11.76";"kg";"Oui";"Non"
2018;"00000";"2000369";"2884.1";"kg";"Non";"Non"
2018;"00000";"2000380";"5277";"l";"Non";"Non"
2018;"00000";"2000390";"1063.25";"kg";"Oui";"Non"
2018;"00000";"2000391";"5";"l";"Non";"Non"
