"annee";"code_postal_acheteur";"amm";"quantite_produit";"conditionnement";"eaj";"achat_etranger"
2019;"97400";"2010023";"1";"l";"Non";"Non"
2019;"97400";"2010282";"6";"l";"Non";"Non"
2019;"97400";"2090160";"45";"l";"Non";"Non"
2019;"97400";"2120086";"5";"l";"Non";"Non"
2019;"97400";"2130075";"15";"kg";"Non";"Non"
2019;"97400";"2140085";"2";"l";"Non";"Non"
2019;"97400";"2140201";"1";"l";"Non";"Non"
2019;"97400";"8500174";"0.75";"l";"Non";"Non"
2019;"97400";"9600526";"0.2";"kg";"Non";"Non"
2019;"97400";"9700332";"3";"l";"Non";"Non"
2019;"97400";"9800336";"5";"l";"Non";"Non"
2019;"97400";"9900227";"15";"l";"Non";"Non"
2019;"97400";"9900331";"1";"l";"Non";"Non"
2019;"97410";"1030003";"71";"l";"Oui";"Non"
2019;"97410";"2000018";"260";"kg";"Non";"Non"
2019;"97410";"2000044";"23";"l";"Non";"Non"
2019;"97410";"2000125";"0.5";"kg";"Oui";"Non"
2019;"97410";"2000517";"54";"l";"Non";"Non"
2019;"97410";"2000519";"470";"l";"Non";"Non"
2019;"97410";"2010023";"44";"l";"Non";"Non"
2019;"97410";"2010130";"20";"kg";"Non";"Non"
2019;"97410";"2010132";"2.75";"kg";"Non";"Non"
2019;"97410";"2010282";"351";"l";"Non";"Non"
2019;"97410";"2010509";"40";"kg";"Non";"Non"
2019;"97410";"2010513";"0.5";"kg";"Non";"Non"
2019;"97410";"2020003";"2";"kg";"Oui";"Non"
2019;"97410";"2020226";"1";"l";"Non";"Non"
2019;"97410";"2040212";"120";"kg";"Non";"Non"
2019;"97410";"2040330";"20";"kg";"Non";"Non"
2019;"97410";"2050046";"1.5";"kg";"Non";"Non"
2019;"97410";"2060050";"4";"l";"Non";"Non"
2019;"97410";"2060084";"31";"kg";"Non";"Non"
2019;"97410";"2060088";"100";"l";"Non";"Non"
2019;"97410";"2060098";"72.9";"l";"Non";"Non"
2019;"97410";"2060113";"3.5";"l";"Non";"Non"
2019;"97410";"2060130";"39";"l";"Non";"Non"
2019;"97410";"2070107";"5";"l";"Non";"Non"
2019;"97410";"2080060";"3";"l";"Non";"Non"
2019;"97410";"2080129";"7";"l";"Non";"Non"
2019;"97410";"2080136";"2";"kg";"Non";"Non"
2019;"97410";"2090094";"25";"kg";"Non";"Non"
2019;"97410";"2090127";"40";"l";"Non";"Non"
2019;"97410";"2090160";"2673";"l";"Non";"Non"
2019;"97410";"2090164";"108";"l";"Oui";"Non"
2019;"97410";"2100026";"195";"l";"Non";"Non"
2019;"97410";"2100122";"2.7";"kg";"Non";"Non"
2019;"97410";"2100231";"13";"kg";"Non";"Non"
2019;"97410";"2110012";"31";"l";"Non";"Non"
2019;"97410";"2110059";"5";"kg";"Non";"Non"
2019;"97410";"2110078";"60";"l";"Non";"Non"
2019;"97410";"2110086";"11";"l";"Non";"Non"
2019;"97410";"2110115";"7";"l";"Non";"Non"
2019;"97410";"2110143";"10";"l";"Non";"Non"
2019;"97410";"2110150";"9.15";"l";"Oui";"Non"
2019;"97410";"2110198";"85";"l";"Non";"Non"
2019;"97410";"2120034";"5";"l";"Non";"Non"
2019;"97410";"2120048";"87";"l";"Non";"Non"
2019;"97410";"2120067";"11";"kg";"Non";"Non"
2019;"97410";"2120086";"10";"l";"Non";"Non"
2019;"97410";"2130075";"85";"kg";"Non";"Non"
2019;"97410";"2130092";"6";"l";"Non";"Non"
2019;"97410";"2130115";"21.12";"kg";"Non";"Non"
2019;"97410";"2130212";"10";"kg";"Non";"Non"
2019;"97410";"2130251";"27";"l";"Non";"Non"
2019;"97410";"2140085";"152";"l";"Non";"Non"
2019;"97410";"2140165";"1";"kg";"Non";"Non"
2019;"97410";"2140201";"31";"l";"Non";"Non"
2019;"97410";"2150790";"3.8";"kg";"Oui";"Non"
2019;"97410";"2160527";"70";"l";"Non";"Non"
2019;"97410";"2170042";"20";"l";"Non";"Non"
2019;"97410";"2170437";"1";"l";"Non";"Non"
2019;"97410";"2180404";"2";"l";"Non";"Non"
2019;"97410";"5100219";"775";"kg";"Non";"Non"
2019;"97410";"7500569";"3";"kg";"Non";"Non"
2019;"97410";"7500716";"120";"kg";"Non";"Non"
2019;"97410";"7600008";"19";"l";"Non";"Non"
2019;"97410";"7700078";"50";"l";"Non";"Non"
2019;"97410";"7800305";"50";"kg";"Non";"Non"
2019;"97410";"8300025";"8";"l";"Non";"Non"
2019;"97410";"8400600";"44";"l";"Non";"Non"
2019;"97410";"8500174";"33.75";"l";"Non";"Non"
2019;"97410";"8800395";"6";"l";"Non";"Non"
2019;"97410";"8800841";"18";"l";"Non";"Non"
2019;"97410";"8900564";"9";"l";"Non";"Non"
2019;"97410";"8900677";"10";"kg";"Non";"Non"
2019;"97410";"8900681";"45";"l";"Non";"Non"
2019;"97410";"9200078";"5";"l";"Non";"Non"
2019;"97410";"9200159";"2";"l";"Non";"Non"
2019;"97410";"9200215";"62.5";"kg";"Non";"Non"
2019;"97410";"9200313";"15";"l";"Non";"Non"
2019;"97410";"9200359";"20";"kg";"Non";"Non"
2019;"97410";"9300094";"315";"kg";"Non";"Non"
2019;"97410";"9300504";"85";"l";"Non";"Non"
2019;"97410";"9500302";"1.6";"kg";"Oui";"Non"
2019;"97410";"9500348";"10";"kg";"Non";"Non"
2019;"97410";"9500432";"9";"l";"Non";"Non"
2019;"97410";"9500568";"35";"kg";"Non";"Non"
2019;"97410";"9500628";"3";"kg";"Non";"Non"
2019;"97410";"9600025";"34";"kg";"Non";"Non"
2019;"97410";"9600103";"80";"kg";"Non";"Non"
2019;"97410";"9600541";"0.5";"kg";"Non";"Non"
2019;"97410";"9700027";"6.0";"kg";"Non";"Non"
2019;"97410";"9700332";"47";"l";"Non";"Non"
2019;"97410";"9700354";"26";"kg";"Non";"Non"
2019;"97410";"9800106";"6";"kg";"Non";"Non"
2019;"97410";"9800144";"2.01";"kg";"Non";"Non"
2019;"97410";"9800219";"30";"l";"Non";"Non"
2019;"97410";"9800244";"1.5";"kg";"Non";"Non"
2019;"97410";"9800336";"63.00";"l";"Non";"Non"
2019;"97410";"9800466";"2";"l";"Non";"Non"
2019;"97410";"9900037";"0.25";"kg";"Non";"Non"
2019;"97410";"9900047";"11";"l";"Non";"Non"
2019;"97410";"9900227";"45";"l";"Non";"Non"
2019;"97410";"9900242";"220";"kg";"Non";"Non"
2019;"97410";"9900331";"16";"l";"Non";"Non"
2019;"97411";"1030003";"20";"l";"Oui";"Non"
