"annee";"code_postal_acheteur";"amm";"quantite_produit";"conditionnement";"eaj";"achat_etranger"
2021;"97200";"2100241";"0.31";"kg";"Non";"Non"
2021;"97212";"2150790";"1.2";"kg";"Oui";"Non"
2021;"97212";"9900257";"1";"kg";"Oui";"Non"
2021;"97227";"2080102";"10";"l";"Non";"Non"
2021;"97227";"2110012";"60";"l";"Non";"Non"
2021;"97227";"2110073";"10";"l";"Non";"Non"
2021;"97227";"2120092";"110";"l";"Non";"Non"
2021;"97227";"2140085";"100";"l";"Non";"Non"
2021;"97227";"2170412";"100";"l";"Non";"Non"
2021;"97227";"2189996";"40";"l";"Non";"Non"
2021;"97227";"2200274";"150";"kg";"Non";"Non"
2021;"97227";"9800336";"30";"l";"Non";"Non"
2021;"97227";"9800474";"510";"kg";"Non";"Non"
2021;"97250";"2110143";"3";"l";"Non";"Non"
2021;"97280";"2171307";"1";"kg";"Non";"Non"
2021;"97280";"7400755";"5";"kg";"Non";"Non"
