"annee";"code_postal_acheteur";"amm";"quantite_produit";"conditionnement";"eaj";"achat_etranger"
2021;"97660";"2060131";"5";"l";"Non";"Non"
2021;"97660";"2080105";"5";"l";"Non";"Non"
2021;"97680";"2010023";"20";"l";"Non";"Non"
2021;"97680";"2060098";"2.5";"l";"Non";"Non"
2021;"97680";"2060130";"10";"l";"Non";"Non"
2021;"97680";"2100231";"5";"kg";"Non";"Non"
2021;"97680";"2160272";"1.25";"l";"Non";"Non"
2021;"97680";"2171086";"5";"l";"Non";"Non"
2021;"97680";"2189996";"5";"l";"Non";"Non"
2021;"97680";"8800841";"1.5";"l";"Non";"Non"
2021;"97680";"9700332";"30";"l";"Non";"Non"
2021;"97680";"9800219";"50";"l";"Non";"Non"
2021;"97680";"9800336";"3";"l";"Non";"Non"
