"annee";"code_postal_acheteur";"amm";"quantite_produit";"conditionnement";"eaj";"achat_etranger"
2020;"14000";"1030003";"59.6";"l";"Oui";"Non"
2020;"14000";"2000003";"5";"l";"Non";"Non"
2020;"14000";"2000018";"80";"kg";"Non";"Non"
2020;"14000";"2000044";"10";"l";"Non";"Non"
2020;"14000";"2000071";"8.8";"kg";"Oui";"Non"
2020;"14000";"2000122";"9.5";"l";"Non";"Non"
2020;"14000";"2000125";"3745.2";"kg";"Oui";"Non"
2020;"14000";"2000201";"5.2";"l";"Non";"Non"
2020;"14000";"2000299";"2";"l";"Non";"Non"
2020;"14000";"2000316";"2";"l";"Non";"Non"
2020;"14000";"2000324";"1";"l";"Non";"Non"
2020;"14000";"2000380";"1";"l";"Non";"Non"
2020;"14000";"2010023";"6";"l";"Non";"Non"
2020;"14000";"2010035";"0.4";"l";"Oui";"Non"
2020;"14000";"2010280";"60";"l";"Non";"Non"
2020;"14000";"2010410";"90.7";"kg";"Oui";"Non"
2020;"14000";"2010513";"5";"kg";"Non";"Non"
2020;"14000";"2010618";"25";"kg";"Non";"Non"
2020;"14000";"2020003";"2605";"kg";"Oui";"Non"
2020;"14000";"2030073";"15";"kg";"Non";"Non"
2020;"14000";"2030323";"27.8";"l";"Non";"Non"
2020;"14000";"2030342";"140";"l";"Non";"Non"
2020;"14000";"2030466";"312";"kg";"Oui";"Non"
2020;"14000";"2050037";"23675";"kg";"Oui";"Non"
2020;"14000";"2050046";"1.0";"kg";"Non";"Non"
2020;"14000";"2050145";"0.3";"l";"Oui";"Non"
2020;"14000";"2060026";"3";"kg";"Non";"Non"
2020;"14000";"2060084";"1";"kg";"Non";"Non"
2020;"14000";"2060086";"1.25";"kg";"Non";"Non"
2020;"14000";"2060098";"0.5";"l";"Non";"Non"
2020;"14000";"2060116";"15";"l";"Non";"Non"
2020;"14000";"2060127";"1.9";"l";"Non";"Non"
2020;"14000";"2060131";"257";"l";"Oui";"Non"
2020;"14000";"2060194";"24";"kg";"Non";"Non"
2020;"14000";"2080026";"14";"l";"Non";"Non"
2020;"14000";"2080054";"0.9";"l";"Oui";"Non"
2020;"14000";"2080089";"0.8";"l";"Oui";"Non"
2020;"14000";"2080102";"5";"l";"Non";"Non"
2020;"14000";"2080105";"85";"l";"Non";"Non"
2020;"14000";"2080125";"0.1";"kg";"Non";"Non"
2020;"14000";"2080136";"1";"kg";"Non";"Non"
2020;"14000";"2090050";"312";"kg";"Non";"Non"
2020;"14000";"2090054";"0.25";"kg";"Non";"Non"
2020;"14000";"2090057";"2.2";"kg";"Non";"Non"
2020;"14000";"2090068";"5";"l";"Non";"Non"
2020;"14000";"2090093";"180";"l";"Non";"Non"
2020;"14000";"2090094";"10";"kg";"Non";"Non"
2020;"14000";"2090101";"10";"l";"Non";"Non"
2020;"14000";"2090111";"9.7";"l";"Non";"Non"
2020;"14000";"2090113";"10";"l";"Non";"Non"
2020;"14000";"2090115";"220";"l";"Non";"Non"
2020;"14000";"2090116";"70";"l";"Non";"Non"
2020;"14000";"2090118";"90";"l";"Non";"Non"
2020;"14000";"2090146";"403.3";"l";"Oui";"Non"
2020;"14000";"2090153";"14";"kg";"Non";"Non"
2020;"14000";"2090157";"10";"l";"Non";"Non"
2020;"14000";"2090160";"360";"l";"Non";"Non"
2020;"14000";"2090199";"9.0";"l";"Oui";"Non"
2020;"14000";"2090200";"1";"l";"Oui";"Non"
2020;"14000";"2100009";"8.0";"kg";"Non";"Non"
2020;"14000";"2100015";"0.1";"kg";"Non";"Non"
2020;"14000";"2100026";"3";"l";"Non";"Non"
2020;"14000";"2100030";"260";"kg";"Non";"Non"
2020;"14000";"2100052";"5";"l";"Non";"Non"
2020;"14000";"2100108";"20";"l";"Non";"Non"
2020;"14000";"2100111";"15";"l";"Non";"Non"
2020;"14000";"2100112";"15";"l";"Non";"Non"
2020;"14000";"2100114";"1";"kg";"Non";"Non"
2020;"14000";"2100138";"30";"l";"Non";"Non"
2020;"14000";"2100175";"0.2";"l";"Non";"Non"
2020;"14000";"2110012";"15";"l";"Non";"Non"
2020;"14000";"2110013";"20";"l";"Non";"Non"
2020;"14000";"2110040";"5.5";"kg";"Oui";"Non"
2020;"14000";"2110056";"30";"l";"Non";"Non"
2020;"14000";"2110063";"0.15";"kg";"Non";"Non"
2020;"14000";"2110083";"2.3";"l";"Oui";"Non"
2020;"14000";"2110084";"7";"l";"Oui";"Non"
2020;"14000";"2110102";"26.0";"l";"Non";"Non"
2020;"14000";"2110104";"4";"l";"Non";"Non"
2020;"14000";"2110121";"0.9";"l";"Non";"Non"
2020;"14000";"2110143";"2";"l";"Non";"Non"
2020;"14000";"2110149";"31.2";"l";"Oui";"Non"
2020;"14000";"2110150";"691.9";"l";"Oui";"Non"
2020;"14000";"2110152";"9";"l";"Non";"Non"
2020;"14000";"2110160";"0.8";"l";"Oui";"Non"
2020;"14000";"2110167";"58";"l";"Non";"Non"
2020;"14000";"2110180";"75.8";"kg";"Oui";"Non"
2020;"14000";"2110196";"26.3";"kg";"Oui";"Non"
2020;"14000";"2120034";"240";"l";"Non";"Non"
2020;"14000";"2120048";"17";"l";"Non";"Non"
2020;"14000";"2120075";"110";"l";"Non";"Non"
2020;"14000";"2120133";"0.8";"l";"Oui";"Non"
2020;"14000";"2120153";"40";"l";"Non";"Non"
2020;"14000";"2120160";"5";"l";"Non";"Non"
2020;"14000";"2120219";"4.5";"l";"Non";"Non"
2020;"14000";"2130068";"21";"l";"Non";"Non"
2020;"14000";"2130069";"8";"l";"Non";"Non"
2020;"14000";"2130075";"80";"kg";"Non";"Non"
2020;"14000";"2130083";"29";"l";"Non";"Non"
2020;"14000";"2130126";"96";"kg";"Oui";"Non"
2020;"14000";"2130153";"43.8";"l";"Oui";"Non"
2020;"14000";"2130175";"0.2";"l";"Non";"Non"
