"annee";"code_postal_acheteur";"amm";"quantite_produit";"conditionnement";"eaj";"achat_etranger"
2021;"44000";"2080105";"10";"l";"Non";"Non"
2021;"44000";"2090093";"20";"l";"Non";"Non"
2021;"44000";"2100009";"0.18";"kg";"Non";"Non"
2021;"44000";"2100114";"3";"kg";"Non";"Non"
2021;"44000";"2110154";"24";"l";"Non";"Non"
2021;"44000";"2120048";"6";"l";"Non";"Non"
2021;"44000";"2120089";"5";"l";"Non";"Non"
2021;"44000";"2130153";"1.8";"l";"Oui";"Non"
2021;"44000";"2140121";"25.91";"l";"Oui";"Non"
2021;"44000";"2140252";"2.5";"kg";"Oui";"Non"
2021;"44000";"2150757";"20";"l";"Non";"Non"
2021;"44000";"2150790";"5.65";"kg";"Oui";"Non"
2021;"44000";"2160115";"10";"l";"Oui";"Non"
2021;"44000";"2160730";"9";"l";"Non";"Non"
2021;"44000";"2160937";"3";"l";"Non";"Non"
2021;"44000";"2180123";"9";"l";"Non";"Non"
2021;"44000";"2180334";"9";"l";"Non";"Non"
2021;"44000";"9100296";"5";"l";"Non";"Non"
2021;"44000";"9200532";"1";"l";"Non";"Non"
2021;"44000";"9400083";"5";"l";"Non";"Non"
2021;"44000";"9500595";"2";"l";"Non";"Non"
2021;"44000";"9800245";"20";"kg";"Non";"Non"
2021;"44100";"2000324";"1";"l";"Non";"Non"
2021;"44100";"2000517";"6.8";"l";"Non";"Non"
2021;"44100";"2050076";"0.15";"kg";"Non";"Non"
2021;"44100";"2060045";"1";"kg";"Non";"Non"
2021;"44100";"2060050";"1.35";"l";"Non";"Non"
2021;"44100";"2080104";"4.92";"kg";"Non";"Non"
2021;"44100";"2080121";"3.27";"kg";"Non";"Non"
2021;"44100";"2090093";"40";"l";"Non";"Non"
2021;"44100";"2090119";"6.5";"l";"Non";"Non"
2021;"44100";"2090164";"30";"l";"Non";"Non"
2021;"44100";"2130049";"2.7";"l";"Non";"Non"
2021;"44100";"2130152";"0.81";"l";"Non";"Non"
2021;"44100";"2150067";"4";"l";"Non";"Non"
2021;"44100";"2150140";"80";"l";"Non";"Non"
2021;"44100";"2150757";"15";"l";"Non";"Non"
2021;"44100";"2150790";"1.2";"kg";"Oui";"Non"
2021;"44100";"2210009";"1000";"l";"Non";"Non"
2021;"44100";"7700703";"1000";"l";"Non";"Non"
2021;"44100";"9000222";"23.29";"l";"Non";"Non"
2021;"44100";"9300257";"0.98";"l";"Non";"Non"
2021;"44100";"9400485";"5.4";"l";"Non";"Non"
2021;"44100";"9500321";"30";"kg";"Non";"Non"
