"annee";"code_postal_acheteur";"amm";"quantite_produit";"conditionnement";"eaj";"achat_etranger"
2019;"04000";"2000510";"80";"kg";"Oui";"Non"
2019;"04000";"2010509";"5.6";"kg";"Non";"Non"
2019;"04000";"2030125";"0.2";"l";"Oui";"Non"
2019;"04000";"2030323";"0.21";"l";"Non";"Non"
2019;"04000";"2060045";"13";"kg";"Oui";"Non"
2019;"04000";"2060098";"0.5";"l";"Non";"Non"
2019;"04000";"2060127";"0.07";"l";"Non";"Non"
2019;"04000";"2060130";"4";"l";"Non";"Non"
2019;"04000";"2080112";"3.5";"l";"Non";"Non"
2019;"04000";"2090008";"1.11";"l";"Non";"Non"
2019;"04000";"2090050";"192";"kg";"Non";"Non"
2019;"04000";"2090052";"16";"kg";"Non";"Non"
2019;"04000";"2090146";"3.4";"l";"Oui";"Non"
2019;"04000";"2090160";"120";"l";"Non";"Non"
2019;"04000";"2090171";"20";"l";"Non";"Non"
2019;"04000";"2100108";"5";"l";"Non";"Non"
2019;"04000";"2100157";"25";"l";"Non";"Non"
2019;"04000";"2110018";"14.3";"l";"Non";"Non"
2019;"04000";"2110102";"6.03";"l";"Non";"Non"
2019;"04000";"2110150";"1.6";"l";"Oui";"Non"
2019;"04000";"2120034";"260";"l";"Non";"Non"
2019;"04000";"2130061";"0.8";"l";"Non";"Non"
2019;"04000";"2130083";"1";"l";"Non";"Non"
2019;"04000";"2140078";"33.5";"l";"Non";"Non"
2019;"04000";"2140147";"1";"l";"Non";"Non"
2019;"04000";"2140168";"2.9";"l";"Non";"Non"
2019;"04000";"2140175";"15";"l";"Non";"Non"
2019;"04000";"2140193";"1";"l";"Oui";"Non"
2019;"04000";"2140252";"21";"kg";"Oui";"Non"
2019;"04000";"2140257";"100";"l";"Non";"Non"
2019;"04000";"2150417";"5.22";"kg";"Oui";"Non"
2019;"04000";"2150973";"60";"kg";"Non";"Non"
2019;"04000";"2160226";"20";"kg";"Non";"Non"
2019;"04000";"2160479";"25";"l";"Non";"Non"
2019;"04000";"2160937";"63";"l";"Non";"Non"
2019;"04000";"2180246";"10";"kg";"Non";"Non"
2019;"04000";"5100219";"50";"kg";"Non";"Non"
2019;"04000";"6400401";"3";"kg";"Non";"Non"
2019;"04000";"7500569";"15";"kg";"Non";"Non"
2019;"04000";"7500716";"80";"kg";"Non";"Non"
2019;"04000";"7700078";"50";"l";"Non";"Non"
2019;"04000";"7700216";"120";"l";"Non";"Non"
2019;"04000";"8400528";"20";"l";"Non";"Non"
2019;"04000";"8400574";"80";"l";"Non";"Non"
