"annee";"code_postal_acheteur";"amm";"substance";"cas";"quantite_substance";"classification";"classification_mention";"achat_etranger"
2021;"20000";"2010023";"deltamethrine";"52918-63-5";"0.375";"Santé A";"";"Non"
2021;"20000";"2050046";"flonicamide";"158062-67-0";"1.25";"Autre";"";"Non"
2021;"20000";"2060086";"pyraclostrobine";"175013-18-0";"0.124";"Santé A";"";"Non"
2021;"20000";"2090093";"glyphosate";"1071-83-6";"99";"Env A";"";"Non"
2021;"20000";"2110086";"spirotetramat";"203313-25-1";"4.5";"CMR";"";"Non"
2021;"20000";"2120089";"2,4-mcpa";"94-74-6";"0.6";"Env A";"";"Non"
2021;"20000";"2120089";"diflufenicanil";"83164-33-4";"0.15";"Env B";"";"Non"
2021;"20000";"2120089";"glyphosate";"1071-83-6";"1.2";"Env A";"";"Non"
2021;"20000";"2140085";"abamectine";"71751-41-2";"0.27";"CMR";"";"Non"
2021;"20000";"2150140";"glyphosate";"1071-83-6";"28.8";"Env A";"";"Non"
2021;"20000";"2170412";"huile essentielle d'orange douce";"8028-48-6";"0.3";"Env A";"";"Non"
2021;"20000";"9100296";"2,4-d";"94-75-7";"72";"Env B";"";"Non"
2021;"20000";"9300504";"huile de vaseline";"8042-47-5";"690.365";"Autre";"";"Non"
2021;"20000";"9500452";"cuivre du sulfate de cuivre";"8011-63-0";"3";"Env A";"Substitution";"Non"
2021;"20000";"9600025";"fosetyl-aluminium";"39148-24-8";"24";"Autre";"";"Non"
2021;"20000";"9800336";"lambda-cyhalothrine";"91465-08-6";"1.2";"Santé A";"Substitution";"Non"
2021;"20000";"9900227";"cuivre de l'hydroxyde de cuivre";"20427-59-2";"12";"Santé A";"Substitution";"Non"
2021;"20090";"2010023";"deltamethrine";"52918-63-5";"0.045";"Santé A";"";"Non"
2021;"20090";"2010296";"2,4-mcpa";"94-74-6";"0.625";"Env A";"";"Non"
2021;"20090";"2010296";"dicamba";"1918-00-9";"0.25";"Env B";"";"Non"
2021;"20090";"2010296";"dichlorprop-p";"15165-67-0";"1.125";"Autre";"";"Non"
2021;"20090";"2020241";"bacillus thuringiensis ssp aizawai souche abts-1857";"68038-71-1";"1.62";"Autre";"";"Non"
2021;"20090";"2030457";"azoxystrobine";"131860-33-8";"1.5";"Santé A";"";"Non"
2021;"20090";"2060084";"boscalid";"188425-85-6";"0.267";"Env A";"";"Non"
2021;"20090";"2060084";"pyraclostrobine";"175013-18-0";"0.067";"Santé A";"";"Non"
2021;"20090";"2070107";"fosetyl";"15845-66-6";"3.1";"Autre";"";"Non"
2021;"20090";"2070107";"propamocarbe";"24579-73-5";"5.3";"Autre";"";"Non"
2021;"20090";"2080038";"pyrethrines";"8003-34-7";"0.093";"Env A";"";"Non"
2021;"20090";"2090116";"glyphosate";"1071-83-6";"43.2";"Env A";"";"Non"
2021;"20090";"2100038";"kaolin";"1332-58-7";"200";"Autre";"";"Non"
2021;"20090";"2120048";"aminopyralid";"150114-71-9";"0.09";"Env A";"";"Non"
2021;"20090";"2120048";"triclopyr";"55335-06-3";"0.72";"Env B";"";"Non"
2021;"20090";"2120171";"fosetyl-aluminium";"39148-24-8";"1.6";"Autre";"";"Non"
2021;"20090";"2130212";"phosmet";"732-11-6";"2.5";"CMR";"";"Non"
2021;"20090";"2150140";"glyphosate";"1071-83-6";"122.4";"Env A";"";"Non"
2021;"20090";"2170412";"huile essentielle d'orange douce";"8028-48-6";"0.3";"Env A";"";"Non"
2021;"20090";"2180334";"difenoconazole";"119446-68-3";"0.26499";"Env A";"";"Non"
2021;"20090";"2180334";"fludioxonil";"131341-86-1";"0.26499";"Env A";"";"Non"
2021;"20090";"2190198";"soufre pour pulverisation (micronise)";"7704-34-9";"192";"Autre";"";"Non"
2021;"20090";"5100219";"soufre sublime";"7704-34-9";"792";"Autre";"";"Non"
2021;"20090";"7700706";"2,4-d";"94-75-7";"0.28";"Env B";"";"Non"
2021;"20090";"7700706";"dicamba";"1918-00-9";"0.04";"Env B";"";"Non"
2021;"20090";"8400477";"fenoxycarbe";"72490-01-8";"0.15";"CMR";"";"Non"
2021;"20090";"9000222";"soufre";"7704-34-9";"35";"Autre";"";"Non"
2021;"20090";"9300189";"fluroxypyr";"69377-81-7";"0.2";"Env B";"";"Non"
2021;"20090";"9300189";"triclopyr";"55335-06-3";"0.6";"Env B";"";"Non"
2021;"20090";"9300504";"huile de vaseline";"8042-47-5";"12.255";"Autre";"";"Non"
2021;"20090";"9500341";"soufre";"7704-34-9";"64";"Autre";"";"Non"
2021;"20090";"9500452";"cuivre du sulfate de cuivre";"8011-63-0";"30";"Env A";"Substitution";"Non"
2021;"20090";"9600386";"fosetyl-aluminium";"39148-24-8";"76.8";"Autre";"";"Non"
2021;"20090";"9800336";"lambda-cyhalothrine";"91465-08-6";"1.6";"Santé A";"Substitution";"Non"
2021;"20090";"9900227";"cuivre de l'hydroxyde de cuivre";"20427-59-2";"14";"Santé A";"Substitution";"Non"
2021;"20100";"2000018";"soufre pour pulverisation (micronise)";"7704-34-9";"416";"Autre";"";"Non"
2021;"20100";"2000044";"fluazifop-p-butyl";"79241-46-6";"1.875";"CMR";"";"Non"
2021;"20100";"2000299";"clomazone";"81777-89-1";"1.08";"Env A";"";"Non"
2021;"20100";"2000327";"carfentrazone ethyl";"128639-02-1";"0.6";"Env A";"";"Non"
2021;"20100";"2010023";"deltamethrine";"52918-63-5";"1.200";"Santé A";"";"Non"
2021;"20100";"2010296";"2,4-mcpa";"94-74-6";"0.625";"Env A";"";"Non"
2021;"20100";"2010296";"dicamba";"1918-00-9";"0.25";"Env B";"";"Non"
2021;"20100";"2010296";"dichlorprop-p";"15165-67-0";"1.125";"Autre";"";"Non"
2021;"20100";"2010427";"quizalofop-p-ethyl";"100646-51-3";"0.24";"Env A";"";"Non"
2021;"20100";"2010513";"bacillus thuringiensis ssp kurstaki souche abts-351";"68038-71-1";"";"Autre";"";"Non"
2021;"20100";"2020219";"fenoxaprop-p-ethyl";"71283-80-2";"0.69";"Env A";"";"Non"
2021;"20100";"2020241";"bacillus thuringiensis ssp aizawai souche abts-1857";"68038-71-1";"3.78";"Autre";"";"Non"
2021;"20100";"2030332";"2,4-d";"94-75-7";"0.24";"Env B";"";"Non"
2021;"20100";"2030332";"dichlorprop-p";"15165-67-0";"0.12";"Autre";"";"Non"
2021;"20100";"2050046";"flonicamide";"158062-67-0";"1.25";"Autre";"";"Non"
2021;"20100";"2060034";"kaolin";"1332-58-7";"855";"Autre";"";"Non"
2021;"20100";"2060050";"metrafenone";"220899-03-6";"5.5";"Env A";"";"Non"
2021;"20100";"2060084";"boscalid";"188425-85-6";"5.607";"Env A";"";"Non"
2021;"20100";"2060084";"pyraclostrobine";"175013-18-0";"1.407";"Santé A";"";"Non"
2021;"20100";"2060085";"boscalid";"188425-85-6";"2";"Env A";"";"Non"
2021;"20100";"2060085";"kresoxim-methyl";"143390-89-0";"1";"CMR";"";"Non"
2021;"20100";"2060098";"spinosad";"168316-95-8";"12.24";"Env A";"";"Non"
2021;"20100";"2070107";"fosetyl";"15845-66-6";"1.55";"Autre";"";"Non"
2021;"20100";"2070107";"propamocarbe";"24579-73-5";"2.65";"Autre";"";"Non"
2021;"20100";"2070133";"napropamide";"15299-99-7";"11.25";"Env A";"";"Non"
2021;"20100";"2080038";"pyrethrines";"8003-34-7";"1.116";"Env A";"";"Non"
2021;"20100";"2080136";"pyridate";"55512-33-9";"2.7";"Env A";"";"Non"
2021;"20100";"2090112";"dimethenamide-p (dmta-p)";"163515-14-8";"2";"Env A";"";"Non"
2021;"20100";"2090112";"metazachlore";"67129-08-2";"2";"CMR";"";"Non"
2021;"20100";"2090119";"cuivre du sulfate tribasique";"12527-76-3";"68.4";"Env A";"Substitution";"Non"
2021;"20100";"2090127";"huile essentielle d'orange douce";"8028-48-6";"2.1";"Env A";"";"Non"
2021;"20100";"2090188";"glyphosate";"1071-83-6";"108";"Env A";"";"Non"
2021;"20100";"2100060";"phosphonate de potassium";"13492-26-7";"29.2";"Autre";"";"Non"
2021;"20100";"2100122";"chlorantraniliprole";"500008-45-7";"0.945";"Env A";"";"Non"
2021;"20100";"2100181";"fluopicolide";"239110-15-7";"5.0616";"Env A";"";"Non"
2021;"20100";"2100181";"fosetyl-aluminium";"39148-24-8";"76.0038";"Autre";"";"Non"
2021;"20100";"2100231";"emamectine benzoate";"155569-91-8";"1.178";"Santé A";"";"Non"
2021;"20100";"2110073";"indoxacarbe";"173584-44-6";"1.05";"Santé A";"";"Non"
2021;"20100";"2110143";"metribuzine";"21087-64-9";"0.6";"Env A";"";"Non"
2021;"20100";"2120132";"dimethomorphe";"110488-70-5";"8.55";"Env A";"";"Non"
2021;"20100";"2120132";"metirame";"9006-42-2";"41.8";"Env A";"";"Non"
2021;"20100";"2120219";"tebuconazole";"107534-96-3";"0.3";"CMR";"";"Non"
2021;"20100";"2120219";"trifloxystrobine";"141517-21-7";"0.15";"Env A";"";"Non"
2021;"20100";"2130049";"cyflufenamid";"180409-60-3";"0.3";"Env A";"";"Non"
2021;"20100";"2130049";"difenoconazole";"119446-68-3";"0.6";"Env A";"";"Non"
2021;"20100";"2130067";"cyflufenamid";"180409-60-3";"1";"Env A";"";"Non"
2021;"20100";"2130152";"fluopyram";"658066-35-4";"4.75";"Env A";"";"Non"
2021;"20100";"2130152";"trifloxystrobine";"141517-21-7";"4.75";"Env A";"";"Non"
2021;"20100";"2140085";"abamectine";"71751-41-2";"0.126";"CMR";"";"Non"
2021;"20100";"2140127";"cymoxanil";"57966-95-7";"11.55";"CMR";"";"Non"
2021;"20100";"2140127";"zoxamide";"156052-68-5";"11.55";"Env A";"";"Non"
2021;"20100";"2140201";"cyflufenamid";"180409-60-3";"0.015";"Env A";"";"Non"
2021;"20100";"2140201";"difenoconazole";"119446-68-3";"0.125";"Env A";"";"Non"
2021;"20100";"2140215";"(z)-9-dodecenylacetate";"16974-11-1";"1.651495";"Env A";"";"Non"
2021;"20100";"2140215";"e7,z9-dodecadienylacetate";"54364-62-4";"1.585728";"Env A";"";"Non"
2021;"20100";"2140270";"ametoctradine";"865318-97-4";"6";"Env A";"";"Non"
2021;"20100";"2150067";"phosphonate de disodium";"13708-85-5";"50";"Autre";"";"Non"
2021;"20100";"2150140";"glyphosate";"1071-83-6";"43.2";"Env A";"";"Non"
2021;"20100";"2150387";"ametoctradine";"865318-97-4";"6";"Env A";"";"Non"
2021;"20100";"2150387";"dimethomorphe";"110488-70-5";"4.5";"Env A";"";"Non"
2021;"20100";"2150483";"lambda-cyhalothrine";"91465-08-6";"0.16";"Santé A";"Substitution";"Non"
2021;"20100";"2160383";"acide gibberellique";"77-06-5";"0.03674";"Autre";"";"Non"
2021;"20100";"2160395";"fenbuconazole";"114369-43-6";"1.25";"Env A";"";"Non"
2021;"20100";"2160395";"tetraconazole";"112281-77-3";"1.25";"Env A";"";"Non"
2021;"20100";"2160408";"fenbuconazole";"114369-43-6";"0.125";"Env A";"";"Non"
2021;"20100";"2170085";"dithianon";"3347-22-6";"13.75";"Env A";"";"Non"
2021;"20100";"2170085";"phosphonate de potassium";"13492-26-7";"61.732";"Autre";"";"Non"
2021;"20100";"2171119";"mandipropamide";"374726-62-2";"3";"Env A";"";"Non"
2021;"20100";"2171119";"zoxamide";"156052-68-5";"2.88";"Env A";"";"Non"
2021;"20100";"2180039";"fluopyram";"658066-35-4";"0.1875";"Env A";"";"Non"
2021;"20100";"2180039";"trifloxystrobine";"141517-21-7";"0.1875";"Env A";"";"Non"
2021;"20100";"2180335";"trinexapac-ethyl";"95266-40-3";"0.6984";"Env A";"";"Non"
2021;"20100";"2180829";"cuivre de l'hydroxyde de cuivre";"20427-59-2";"1.36";"Santé A";"Substitution";"Non"
