"annee";"code_postal_acheteur";"amm";"substance";"cas";"quantite_substance";"classification";"classification_mention";"achat_etranger"
2019;"97118";"2090132";"cuivre du sulfate tribasique";"12527-76-3";"0.7998";"Env A";"";"Non"
2019;"97118";"2090132";"zoxamide";"156052-68-5";"0.12";"Env A";"";"Non"
2019;"97118";"2110147";"fludioxonil";"131341-86-1";"0.5";"Env A";"";"Non"
2019;"97118";"2120034";"glyphosate";"1071-83-6";"2.4";"Env A";"";"Non"
2019;"97122";"8100472";"pyrimiphos-methyl";"29232-93-7";"10";"Env A";"";"Non"
2019;"97160";"2010427";"quizalofop-p-ethyl";"100646-51-3";"14.4";"Env A";"";"Non"
2019;"97160";"2050046";"flonicamide";"158062-67-0";"43";"Autre";"";"Non"
2019;"97160";"2060050";"metrafenone";"220899-03-6";"25";"Env A";"";"Non"
2019;"97160";"2060085";"boscalid";"188425-85-6";"10";"Env A";"";"Non"
2019;"97160";"2060085";"kresoxim-methyl";"143390-89-0";"5";"CMR";"";"Non"
2019;"97160";"2060098";"spinosad";"168316-95-8";"4.8";"Env A";"";"Non"
2019;"97160";"2090094";"thiophanate-methyl";"23564-05-8";"704";"CMR";"";"Non"
2019;"97160";"2100122";"chlorantraniliprole";"500008-45-7";"0.735";"Env A";"";"Non"
2019;"97160";"2110073";"indoxacarbe";"173584-44-6";"1.5";"Santé A";"";"Non"
2019;"97160";"2120092";"ametoctradine";"865318-97-4";"6";"Env A";"";"Non"
2019;"97160";"2120092";"dimethomorphe";"110488-70-5";"4.5";"Env A";"";"Non"
2019;"97160";"2120159";"thirame";"137-26-8";"0.006504";"Env A";"";"Non"
2019;"97160";"2130079";"cyflufenamid";"180409-60-3";"1";"Env A";"";"Non"
2019;"97160";"2140165";"metribuzine";"21087-64-9";"7";"Env A";"";"Non"
2019;"97160";"2140236";"mancozebe";"8018-01-7";"1200";"CMR";"";"Non"
2019;"97160";"2169999";"cyantraniliprole";"736994-63-1";"0.1";"Env A";"";"Non"
2019;"97160";"7500569";"pyrimicarbe";"23103-98-2";"7.5";"CMR";"";"Non"
2019;"97160";"9200214";"soufre pour pulverisation (micronise)";"7704-34-9";"640";"Autre";"";"Non"
2019;"97160";"9500568";"cyprodinyl";"121552-61-2";"22.5";"Env A";"";"Non"
2019;"97160";"9500568";"fludioxonil";"131341-86-1";"15";"Env A";"";"Non"
2019;"97160";"9800474";"cuivre du sulfate de cuivre";"8011-63-0";"201";"Env A";"";"Non"
2019;"97180";"2100231";"emamectine benzoate";"155569-91-8";"0.0095";"Santé A";"";"Non"
