"annee";"code_postal_acheteur";"amm";"substance";"cas";"quantite_substance";"classification";"classification_mention";"achat_etranger"
2019;"00000";"1030003";"polymere carboxyl sulfone cationique";"8061-53-8";"3157.83312";"Autre";"";"Non"
2019;"00000";"2000003";"metazachlore";"67129-08-2";"59.0";"CMR";"";"Non"
2019;"00000";"2000017";"tau-fluvalinate";"102851-06-9";"0.3048";"Env A";"";"Non"
2019;"00000";"2000018";"soufre pour pulverisation (micronise)";"7704-34-9";"55352.76024";"Autre";"";"Non"
2019;"00000";"2000044";"fluazifop-p-butyl";"79241-46-6";"622.750";"CMR";"";"Non"
2019;"00000";"2000045";"cyazofamide";"120116-88-3";"0.8";"Env A";"";"Non"
2019;"00000";"2000045";"heptamethyltrisiloxane modifie polyalkylenoxide";"27306-78-1";"1.26885";"Autre";"";"Non"
2019;"00000";"2000046";"ethofumesate";"26225-79-6";"73.5";"Env A";"";"Non"
2019;"00000";"2000046";"metamitrone";"41394-05-2";"171.5";"Env A";"";"Non"
2019;"00000";"2000087";"cuivre de l'hydroxyde de cuivre";"20427-59-2";"2617.14";"Santé A";"";"Non"
2019;"00000";"2000097";"metaldehyde";"108-62-3";"67.8";"Autre";"";"Non"
2019;"00000";"2000099";"chlorprophame";"101-21-3";"0.6";"CMR";"";"Non"
2019;"00000";"2000122";"metalaxyl-m";"70630-17-0";"1188.539840";"Autre";"";"Non"
2019;"00000";"2000125";"cuivre du sulfate de cuivre";"8011-63-0";"3722.89398";"Env A";"";"Non"
2019;"00000";"2000169";"2 phenyl-phenol";"90-43-7";"0.02";"Env A";"";"Non"
2019;"00000";"2000191";"chlorpyriphos-ethyl";"2921-88-2";"571.802525";"Santé A";"";"Non"
2019;"00000";"2000201";"silthiofam";"175217-20-6";"1538.977513";"Env A";"";"Non"
2019;"00000";"2000202";"glyphosate";"1071-83-6";"81.0";"Env A";"";"Non"
2019;"00000";"2000205";"propoxycarbazone sodium";"181274-15-7";"5.95";"Env A";"";"Non"
