"annee";"code_postal_acheteur";"amm";"substance";"cas";"quantite_substance";"classification";"classification_mention";"achat_etranger"
2021;"97400";"2000044";"fluazifop-p-butyl";"79241-46-6";"0.625";"CMR";"";"Non"
2021;"97400";"2000517";"cuivre de l'hydroxyde de cuivre";"20427-59-2";"0.72";"Santé A";"Substitution";"Non"
2021;"97400";"2010023";"deltamethrine";"52918-63-5";"0.195";"Santé A";"";"Non"
2021;"97400";"2010282";"cypermethrine";"52315-07-8";"1.3";"Env A";"";"Non"
2021;"97400";"2060098";"spinosad";"168316-95-8";"1.152";"Env A";"";"Non"
2021;"97400";"2080136";"pyridate";"55512-33-9";"0.9";"Env A";"";"Non"
2021;"97400";"2090136";"fluopicolide";"239110-15-7";"0.625";"Env A";"";"Non"
2021;"97400";"2090136";"propamocarbe hcl";"25606-41-1";"6.25";"Autre";"";"Non"
2021;"97400";"2100026";"cypermethrine";"52315-07-8";"1.5";"Env A";"";"Non"
2021;"97400";"2100122";"chlorantraniliprole";"500008-45-7";"0.21";"Env A";"";"Non"
2021;"97400";"2110012";"cyazofamide";"120116-88-3";"0.32";"Env A";"";"Non"
2021;"97400";"2110086";"spirotetramat";"203313-25-1";"1.6";"CMR";"";"Non"
2021;"97400";"2110115";"cypermethrine";"52315-07-8";"1";"Env A";"";"Non"
2021;"97400";"2110143";"metribuzine";"21087-64-9";"1.8";"Env A";"";"Non"
2021;"97400";"2130075";"metaldehyde";"108-62-3";"0.8";"CMR";"";"Non"
2021;"97400";"2130115";"deltamethrine";"52918-63-5";"0.00528";"Santé A";"";"Non"
2021;"97400";"2130251";"lambda-cyhalothrine";"91465-08-6";"0.1";"Santé A";"Substitution";"Non"
2021;"97400";"2140085";"abamectine";"71751-41-2";"0.126";"CMR";"";"Non"
2021;"97400";"2150140";"glyphosate";"1071-83-6";"72";"Env A";"";"Non"
2021;"97400";"2160272";"hexythiazox";"78587-05-0";"0.0625";"Env A";"";"Non"
2021;"97400";"8300025";"penconazole";"66246-88-6";"0.1";"CMR";"";"Non"
2021;"97400";"8400600";"fluroxypyr-meptyl";"81406-37-3";"0.8646";"Autre";"";"Non"
2021;"97400";"8500174";"abamectine";"71751-41-2";"0.018";"CMR";"";"Non"
2021;"97400";"8900564";"tau-fluvalinate";"102851-06-9";"0.24";"Env A";"";"Non"
2021;"97400";"9200215";"cymoxanil";"57966-95-7";"0.48";"CMR";"";"Non"
2021;"97400";"9200215";"metirame";"9006-42-2";"5.7";"Env A";"";"Non"
2021;"97400";"9300504";"huile de vaseline";"8042-47-5";"16.34";"Autre";"";"Non"
2021;"97400";"9500568";"cyprodinyl";"121552-61-2";"0.375";"Env A";"";"Non"
2021;"97400";"9500568";"fludioxonil";"131341-86-1";"0.25";"Env A";"";"Non"
2021;"97400";"9600025";"fosetyl-aluminium";"39148-24-8";"4.8";"Autre";"";"Non"
2021;"97400";"9700332";"azoxystrobine";"131860-33-8";"0.25";"Santé A";"";"Non"
2021;"97400";"9800336";"lambda-cyhalothrine";"91465-08-6";"0.725";"Santé A";"Substitution";"Non"
2021;"97400";"9900227";"cuivre de l'hydroxyde de cuivre";"20427-59-2";"8";"Santé A";"Substitution";"Non"
2021;"97410";"2000044";"fluazifop-p-butyl";"79241-46-6";"2.125";"CMR";"";"Non"
2021;"97410";"2000517";"cuivre de l'hydroxyde de cuivre";"20427-59-2";"24.84";"Santé A";"Substitution";"Non"
2021;"97410";"2000519";"2,4-d";"94-75-7";"54";"Env B";"";"Non"
2021;"97410";"2010023";"deltamethrine";"52918-63-5";"1.365";"Santé A";"";"Non"
2021;"97410";"2010282";"cypermethrine";"52315-07-8";"101.3";"Env A";"";"Non"
2021;"97410";"2010602";"cymoxanil";"57966-95-7";"0.96";"CMR";"";"Non"
2021;"97410";"2010602";"mancozebe";"8018-01-7";"11.16";"CMR";"Exclusion";"Non"
2021;"97410";"2020226";"clethodime";"99129-21-2";"0.36";"Env B";"";"Non"
2021;"97410";"2060084";"boscalid";"188425-85-6";"5.607";"Env A";"";"Non"
2021;"97410";"2060084";"pyraclostrobine";"175013-18-0";"1.407";"Santé A";"";"Non"
2021;"97410";"2060088";"benoxacor";"98730-04-2";"0.3";"Autre";"";"Non"
2021;"97410";"2060088";"mesotrione";"104206-82-8";"0.6";"Env A";"";"Non"
2021;"97410";"2060088";"s-metolachlore";"87392-12-9";"6";"Env A";"";"Non"
2021;"97410";"2060098";"spinosad";"168316-95-8";"12.768";"Env A";"";"Non"
2021;"97410";"2060113";"bifenazate";"149877-41-8";"0.18";"Env A";"";"Non"
2021;"97410";"2060130";"spinosad";"168316-95-8";"0.01848";"Env A";"";"Non"
2021;"97410";"2080060";"pyriproxyfene";"95737-68-1";"1.7";"Env A";"";"Non"
2021;"97410";"2080136";"pyridate";"55512-33-9";"0.45";"Env A";"";"Non"
2021;"97410";"2090127";"huile essentielle d'orange douce";"8028-48-6";"1.5";"Env A";"";"Non"
2021;"97410";"2090136";"fluopicolide";"239110-15-7";"1.25";"Env A";"";"Non"
2021;"97410";"2090136";"propamocarbe hcl";"25606-41-1";"12.5";"Autre";"";"Non"
2021;"97410";"2100026";"cypermethrine";"52315-07-8";"21.5";"Env A";"";"Non"
2021;"97410";"2100122";"chlorantraniliprole";"500008-45-7";"3.045";"Env A";"";"Non"
2021;"97410";"2100212";"tebuconazole";"107534-96-3";"2";"CMR";"";"Non"
2021;"97410";"2100212";"trifloxystrobine";"141517-21-7";"1";"Env A";"";"Non"
2021;"97410";"2100231";"emamectine benzoate";"155569-91-8";"0.095";"Santé A";"";"Non"
2021;"97410";"2110012";"cyazofamide";"120116-88-3";"6.72";"Env A";"";"Non"
2021;"97410";"2110073";"indoxacarbe";"173584-44-6";"0.6";"Santé A";"";"Non"
2021;"97410";"2110086";"spirotetramat";"203313-25-1";"2";"CMR";"";"Non"
2021;"97410";"2110101";"pyraflufen-ethyl";"129630-19-9";"0.3975";"Env A";"";"Non"
2021;"97410";"2110115";"cypermethrine";"52315-07-8";"1.8";"Env A";"";"Non"
2021;"97410";"2110143";"metribuzine";"21087-64-9";"3";"Env A";"";"Non"
2021;"97410";"2120048";"aminopyralid";"150114-71-9";"0.54";"Env A";"";"Non"
2021;"97410";"2120048";"triclopyr";"55335-06-3";"4.32";"Env B";"";"Non"
2021;"97410";"2120067";"cymoxanil";"57966-95-7";"2.7";"CMR";"";"Non"
2021;"97410";"2130075";"metaldehyde";"108-62-3";"2.4";"CMR";"";"Non"
2021;"97410";"2130092";"spiromesifen";"283594-90-1";"0.72";"Autre";"";"Non"
2021;"97410";"2130115";"deltamethrine";"52918-63-5";"0.005333";"Santé A";"";"Non"
2021;"97410";"2130244";"difenoconazole";"119446-68-3";"2.75";"Env A";"";"Non"
2021;"97410";"2130244";"mandipropamide";"374726-62-2";"2.75";"Env A";"";"Non"
2021;"97410";"2130251";"lambda-cyhalothrine";"91465-08-6";"0.4";"Santé A";"Substitution";"Non"
2021;"97410";"2140085";"abamectine";"71751-41-2";"1.026";"CMR";"";"Non"
2021;"97410";"2140090";"azadirachtine";"11141-17-6";"0.0392";"CMR";"";"Non"
2021;"97410";"2140118";"dimethomorphe";"110488-70-5";"4.5";"Env A";"";"Non"
2021;"97410";"2140118";"mancozebe";"8018-01-7";"30";"CMR";"Exclusion";"Non"
2021;"97410";"2140165";"metribuzine";"21087-64-9";"7.7";"Env A";"";"Non"
2021;"97410";"2140201";"cyflufenamid";"180409-60-3";"0.555";"Env A";"";"Non"
2021;"97410";"2140201";"difenoconazole";"119446-68-3";"4.625";"Env A";"";"Non"
2021;"97410";"2150140";"glyphosate";"1071-83-6";"304.2";"Env A";"";"Non"
2021;"97410";"2160272";"hexythiazox";"78587-05-0";"0.75";"Env A";"";"Non"
2021;"97410";"2160608";"huile de colza";"8002-13-9";"1.6506";"Autre";"";"Non"
2021;"97410";"2160608";"pyrethrines";"8003-34-7";"0.00918";"Env A";"";"Non"
2021;"97410";"2160841";"bacillus amyloliquefaciens subsp plantarum d747";"";"";"Autre";"";"Non"
2021;"97410";"2160842";"metribuzine";"21087-64-9";"2.1";"Env A";"";"Non"
2021;"97410";"2170042";"glyphosate";"1071-83-6";"11.25";"Env A";"";"Non"
2021;"97410";"2190148";"difenoconazole";"119446-68-3";"0.05";"Env A";"";"Non"
2021;"97410";"2190148";"fluxapyroxad";"907204-31-3";"0.075";"CMR";"";"Non"
2021;"97410";"5100219";"soufre sublime";"7704-34-9";"74.25";"Autre";"";"Non"
2021;"97410";"7500716";"cuivre du sulfate de cuivre";"8011-63-0";"26";"Env A";"Substitution";"Non"
2021;"97410";"7600008";"bupirimate";"41483-43-6";"5.25";"CMR";"";"Non"
2021;"97410";"8300025";"penconazole";"66246-88-6";"0.6";"CMR";"";"Non"
2021;"97410";"8400600";"fluroxypyr-meptyl";"81406-37-3";"3.1702";"Autre";"";"Non"
2021;"97410";"8500174";"abamectine";"71751-41-2";"1.2375";"CMR";"";"Non"
2021;"97410";"8600243";"aclonifen";"74070-46-5";"6";"CMR";"";"Non"
2021;"97410";"8700462";"prosulfocarbe";"52888-80-9";"16";"Env A";"";"Non"
2021;"97410";"8800395";"lambda-cyhalothrine";"91465-08-6";"0.025";"Santé A";"Substitution";"Non"
2021;"97410";"8800395";"pyrimicarbe";"23103-98-2";"0.5";"CMR";"";"Non"
2021;"97410";"8800841";"difenoconazole";"119446-68-3";"1.75";"Env A";"";"Non"
2021;"97410";"8900681";"pendimethaline";"40487-42-1";"12";"Env A";"Substitution";"Non"
2021;"97410";"9200159";"pyrimethanil";"53112-28-0";"1.6";"Env A";"";"Non"
2021;"97410";"9200215";"cymoxanil";"57966-95-7";"2.88";"CMR";"";"Non"
2021;"97410";"9200215";"metirame";"9006-42-2";"34.2";"Env A";"";"Non"
2021;"97410";"9300504";"huile de vaseline";"8042-47-5";"114.38";"Autre";"";"Non"
2021;"97410";"9500568";"cyprodinyl";"121552-61-2";"12.375";"Env A";"";"Non"
2021;"97410";"9500568";"fludioxonil";"131341-86-1";"8.25";"Env A";"";"Non"
