"annee";"code_postal_acheteur";"amm";"substance";"cas";"quantite_substance";"classification";"classification_mention";"achat_etranger"
2019;"97213";"2150417";"bacillus thuringiensis ssp kurstaki";"68038-71-1";"0.0486";"Autre";"";"Non"
2019;"97226";"2090160";"glyphosate";"1071-83-6";"21.6";"Env A";"";"Non"
2019;"97226";"8900564";"tau-fluvalinate";"102851-06-9";"1.2";"Env A";"";"Non"
2019;"97227";"2010427";"quizalofop-p-ethyl";"100646-51-3";"13.2";"Env A";"";"Non"
2019;"97227";"2010513";"bacillus thuringiensis ssp kurstaki";"68038-71-1";"";"Autre";"";"Non"
2019;"97227";"2050046";"flonicamide";"158062-67-0";"26";"Autre";"";"Non"
2019;"97227";"2060098";"spinosad";"168316-95-8";"0.24";"Env A";"";"Non"
2019;"97227";"2080029";"penoxsulame";"219714-96-2";"0.06";"Env A";"";"Non"
2019;"97227";"2090037";"dicamba";"1918-00-9";"1.8";"Env B";"";"Non"
2019;"97227";"2090037";"prosulfuron";"94125-34-5";"0.18";"Env A";"Substitution";"Non"
2019;"97227";"2090094";"thiophanate-methyl";"23564-05-8";"197.12";"CMR";"";"Non"
2019;"97227";"2100173";"pendimethaline";"40487-42-1";"4.55";"Env A";"Substitution";"Non"
2019;"97227";"2110012";"cyazofamide";"120116-88-3";"4.8";"Env A";"";"Non"
2019;"97227";"2120092";"ametoctradine";"865318-97-4";"27";"Env A";"";"Non"
2019;"97227";"2120092";"dimethomorphe";"110488-70-5";"20.25";"Env A";"";"Non"
2019;"97227";"2150483";"lambda-cyhalothrine";"91465-08-6";"0.16";"Santé A";"Substitution";"Non"
2019;"97227";"2160527";"sels de potassium d'acides gras";"10124-65-9";"120.9096";"Autre";"";"Non"
2019;"97227";"9500568";"cyprodinyl";"121552-61-2";"56.25";"Env A";"";"Non"
2019;"97227";"9500568";"fludioxonil";"131341-86-1";"37.5";"Env A";"";"Non"
2019;"97227";"9900251";"dimethenamide-p (dmta-p)";"163515-14-8";"14.4";"Env A";"";"Non"
2019;"97232";"2000125";"cuivre du sulfate de cuivre";"8011-63-0";"0.154";"Env A";"";"Non"
2019;"97232";"2110180";"cuivre de l'oxyde cuivreux";"1317-39-1";"0.075";"Env A";"";"Non"
