"annee";"code_postal_acheteur";"amm";"substance";"cas";"quantite_substance";"classification";"classification_mention";"achat_etranger"
2020;"97680";"2010023";"deltamethrine";"52918-63-5";"0.15";"Santé A";"";"Non"
2020;"97680";"2010513";"bacillus thuringiensis ssp kurstaki";"68038-71-1";"";"Autre";"";"Non"
2020;"97680";"2080101";"acetamipride";"135410-20-7";"0.6";"Env B";"";"Non"
2020;"97680";"2090127";"huile essentielle d'orange douce";"8028-48-6";"3";"Env A";"";"Non"
2020;"97680";"2130075";"metaldehyde";"108-62-3";"16";"Autre";"";"Non"
2020;"97680";"2140090";"azadirachtine";"11141-17-6";"0.0196";"CMR";"";"Non"
2020;"97680";"8800841";"difenoconazole";"119446-68-3";"0.375";"Env A";"";"Non"
2020;"97680";"9200159";"pyrimethanil";"53112-28-0";"1.2";"Env A";"";"Non"
2020;"97680";"9700027";"hexythiazox";"78587-05-0";"0.1";"Env A";"";"Non"
2020;"97680";"9700332";"azoxystrobine";"131860-33-8";"0.75";"Santé A";"";"Non"
2020;"97680";"9800219";"ethephon";"16672-87-0";"5.4";"Santé A";"";"Non"
2020;"97680";"9800336";"lambda-cyhalothrine";"91465-08-6";"0.5";"Santé A";"Substitution";"Non"
