"annee";"code_postal_acheteur";"amm";"substance";"cas";"quantite_substance";"classification";"classification_mention";"achat_etranger"
2019;"04000";"2000510";"fer sous forme de sulfate de fer";"7720-78-7";"6.4";"Autre";"";"Non"
2019;"04000";"2010509";"cuivre du sulfate de cuivre";"8011-63-0";"1.12";"Env A";"";"Non"
2019;"04000";"2030125";"deltamethrine";"52918-63-5";"0.003";"Santé A";"";"Non"
2019;"04000";"2030323";"fludioxonil";"131341-86-1";"0.00525";"Env A";"";"Non"
2019;"04000";"2060045";"huile vegetale";"";"0.455";"Autre";"";"Non"
2019;"04000";"2060045";"resines (colophane)";"8050-09-7";"4.42";"Autre";"";"Non"
2019;"04000";"2060098";"spinosad";"168316-95-8";"0.24";"Env A";"";"Non"
2019;"04000";"2060127";"prothioconazole";"178928-70-6";"0.007";"CMR";"";"Non"
2019;"04000";"2060130";"spinosad";"168316-95-8";"0.00096";"Env A";"";"Non"
2019;"04000";"2080112";"thirame";"137-26-8";"1.68";"Env A";"";"Non"
2019;"04000";"2090008";"thirame";"137-26-8";"0.59163";"Env A";"";"Non"
2019;"04000";"2090050";"cypermethrine";"52315-07-8";"1.536";"Env A";"";"Non"
2019;"04000";"2090052";"tribenuron-methyle";"101200-48-0";"8";"Env A";"";"Non"
2019;"04000";"2090146";"abamectine";"71751-41-2";"0.000051";"CMR";"";"Non"
2019;"04000";"2090146";"pyrethrines";"8003-34-7";"0.00068";"Env A";"";"Non"
2019;"04000";"2090160";"glyphosate";"1071-83-6";"43.2";"Env A";"";"Non"
2019;"04000";"2090171";"dimoxystrobine";"149961-52-4";"2.66";"CMR";"";"Non"
2019;"04000";"2090171";"epoxiconazole";"133855-98-8";"1";"CMR";"Exclusion";"Non"
2019;"04000";"2100108";"prothioconazole";"178928-70-6";"0.625";"CMR";"";"Non"
2019;"04000";"2100108";"tebuconazole";"107534-96-3";"0.625";"CMR";"";"Non"
2019;"04000";"2100157";"desmediphame";"13684-56-5";"1.5";"Env A";"";"Non"
2019;"04000";"2100157";"ethofumesate";"26225-79-6";"1.5";"Env A";"";"Non"
2019;"04000";"2100157";"metamitrone";"41394-05-2";"5";"Env A";"";"Non"
2019;"04000";"2100157";"phenmediphame";"13684-63-4";"1.5";"Env A";"";"Non"
2019;"04000";"2110018";"difenoconazole";"119446-68-3";"0.3575";"Env A";"";"Non"
2019;"04000";"2110018";"fludioxonil";"131341-86-1";"0.3575";"Env A";"";"Non"
2019;"04000";"2110102";"difenoconazole";"119446-68-3";"0.15075";"Env A";"";"Non"
2019;"04000";"2110102";"fludioxonil";"131341-86-1";"0.15075";"Env A";"";"Non"
2019;"04000";"2110102";"sedaxane";"874967-67-6";"0.3015";"Env A";"";"Non"
2019;"04000";"2110150";"huile de colza";"8002-13-9";"1.2432";"Autre";"";"Non"
2019;"04000";"2120034";"glyphosate";"1071-83-6";"124.8";"Env A";"";"Non"
2019;"04000";"2130061";"metconazole";"125116-23-6";"0.048";"CMR";"";"Non"
2019;"04000";"2130083";"lambda-cyhalothrine";"91465-08-6";"0.1";"Santé A";"Substitution";"Non"
2019;"04000";"2140078";"fludioxonil";"131341-86-1";"0.335";"Env A";"";"Non"
2019;"04000";"2140078";"tefluthrine";"79538-32-2";"1.34";"Santé A";"";"Non"
2019;"04000";"2140147";"deltamethrine";"52918-63-5";"0.015";"Santé A";"";"Non"
2019;"04000";"2140168";"cuivre du sulfate tribasique";"12527-76-3";"0.551";"Env A";"";"Non"
2019;"04000";"2140175";"metconazole";"125116-23-6";"1.35";"CMR";"";"Non"
2019;"04000";"2140193";"sulfate de fer (sulfate ferreux heptahydrate)";"7782-63-0";"0.187";"Autre";"";"Non"
2019;"04000";"2140252";"phosphate ferrique";"10045-86-0";"0.2625";"Autre";"";"Non"
2019;"04000";"2140257";"iodosulfuron-methyl-sodium";"144550-36-7";"0.2";"Env A";"";"Non"
2019;"04000";"2140257";"mefenpyr-diethyl";"135590-91-9";"3";"Autre";"";"Non"
2019;"04000";"2140257";"mesosulfuron-methyl";"208465-21-8";"1";"Env A";"";"Non"
2019;"04000";"2150417";"bacillus thuringiensis ssp kurstaki";"68038-71-1";"2.8188";"Autre";"";"Non"
2019;"04000";"2150973";"lambda-cyhalothrine";"91465-08-6";"0.24";"Santé A";"Substitution";"Non"
2019;"04000";"2160226";"phosphate ferrique";"10045-86-0";"0.484";"Autre";"";"Non"
